title,abstract,eid
Point cloud semantic segmentation using a deep learning framework for cultural heritage,"In the Digital Cultural Heritage (DCH) domain, the semantic segmentation of 3D Point Clouds with Deep Learning (DL) techniques can help to recognize historical architectural elements, at an adequate level of detail, and thus speed up the process of modeling of historical buildings for developing BIM models from survey data, referred to as HBIM (Historical Building Information Modeling). In this paper, we propose a DL framework for Point Cloud segmentation, which employs an improved DGCNN (Dynamic Graph Convolutional Neural Network) by adding meaningful features such as normal and colour. The approach has been applied to a newly collected DCH Dataset which is publicy available: ArCH (Architectural Cultural Heritage) Dataset. This dataset comprises 11 labeled points clouds, derived from the union of several single scans or from the integration of the latter with photogrammetric surveys. The involved scenes are both indoor and outdoor, with churches, chapels, cloisters, porticoes and loggias covered by a variety of vaults and beared by many different types of columns. They belong to different historical periods and different styles, in order to make the dataset the least possible uniform and homogeneous (in the repetition of the architectural elements) and the results as general as possible. The experiments yield high accuracy, demonstrating the effectiveness and suitability of the proposed approach. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",2-s2.0-85082303972
A self-sparse generative adversarial network for autonomous early-stage design of architectural sketches,"This study develops an autonomous design method for architectural shape sketches by a novel self-sparse generative adversarial network (self-sparse GAN), thereby overcoming the problems regarding excessive reliance on sufficient aesthetic knowledge and excessive time consumption in traditional human design. First, a new architectural shape dataset denoted “Sketch” is built by using the eXtended difference-of-Gaussians operator. Second, a self-adaptive sparse transform module (SASTM) is designed following each deconvolution layer of the proposed self-sparse GAN to utilize the sparsity of sketch images by the sparsity decomposition and feature-map recombination. Third, the Frechet inception distance (FID) is adopted to evaluate the quality of the generated sketches by comparing the distribution of the real and generated datasets. Finally, two common image generation approaches, Wasserstein GAN with gradient penalty and self-attention GAN, are compared with the proposed self-sparse GAN, and results show the proposed method achieves the best performance with a relative decrease in the FID score of 11.87%. The proposed autonomous design method can give tens of thousands of sketches for a class of buildings in a few seconds using the trained network, which can help architects to choose the architectural form and/or inspire architects to consider unique schemes in the early stages of design. © 2021 Computer-Aided Civil and Infrastructure Engineering",2-s2.0-85113243800
Latent morphologies: Encoding architectural features and decoding their structure through artificial intelligence,"This article explores the impact of Artificial Intelligence (AI) on the architectural discipline, focusing on generative models and their controllability. While generative models have revolutionized the design process by freeing designers from specific tasks and allowing them to focus on desired results, the reliance on randomness frequently hinders controllability and meaningful experimentation. To address this challenge, the article proposes the construction of an encyclopedic architectural dataset, encompassing various architectural projects and combining images with text for multimodal applications and two methodologies, multi-class StyleGAN and multimodal StyleGAN+CLIP to enhance controllability. Utilizing specific conditions, multi-class StyleGAN enables designers to navigate latent space and identify hidden patterns, while StyleGAN+CLIP integrates text to achieve specific controllability and generate diverse architectural features. Through experimentation, the research showcases the potential of generative models to create structured designs that incorporate existing architectural styles. © The Author(s) 2023.",2-s2.0-85175441900
Salient region suppression and multi-scale feature fusion for architectural style recognition; [显著区域抑制与多尺度特征融合的建筑风格识别],"To address the problems of incomplete feature extraction of architectural elements and difficulties in the recognition of similar architectural styles, we propose a salient region suppression and multi-scale feature fusion (SRSMSFF) architectural style recognition method.First, the improved Resnetl8 is used to extract the initial architectural features.Next, the salient region suppression module (SRSM) is designed, which guides the network to learn the features of potential regions by hiding the most discriminative regions.And multi-scale feature fusion (MSFF) is designed, which combines multi-scale structure with salient region suppression to obtain a more complete feature of architectural elements.Then, channel attention is used to assign corresponding weights to each channel, which can highlight important channel information.Finally, the large-margin Softmax loss function (L-Softmax) is introduced through maximizing the decision boundary distance of the feature embedding space, which improves the performance of similar architectural style recognition.The experimental results show that our model achieves 64.44 % and 80.21 % accuracy on the 25-class and 10-class public architectural style datasets.It achieves an accuracy of 88.21 % on the dataset of ancient Chinese architectural styles.Its performance is superior to current advanced method. © 2024 Tianjin University of Technology. All rights reserved.",2-s2.0-85202723434
Understanding architecture age and style through deep learning,"Architectural styles and their evolution are central to architecture history. However, traditional approaches to understand styles and their evolution require domain expertise, fieldwork and extensive manual processes. Recent research in deep learning and computer vision has highlighted the great potential in analyzing urban environments from images. In this paper, we propose a deep learning-based framework for understanding architectural styles and age epochs by deciphering building façades based on street-level imagery. The framework is composed of two stages: Deep ‘Learning’ the architecture and Deep ‘Interpreting’ the architecture age epochs and styles. In Deep ‘Learning’, a deep convolutional neural network (DCNN) model is designed to automatically learn about the age characteristics of building façades from street view images. In Deep ‘Interpreting’ stage, three components are proposed to understand the different perspectives regarding building ages and styles. In the experiment, a building age epoch dataset is compiled for the city of Amsterdam and Stockholm to understand the evolution of architectural element styles and the relationship between building ages and styles spatially and temporally. This research illustrates how publicly available data and deep learning could be used to trace the evolution of architectural styles in the spatial-temporal domain. © 2022",2-s2.0-85131439428
Comparative Analysis of Transformer and CNN in Image Recognition Applications,"Convolutional Neural Network (CNN) and Transformer are two mainstream model architectures for deep learning in image recognition and classification tasks. The purpose of this paper is to explore the performance differences between the two through comparative experiments, so as to provide more comprehensive guidance for model selection. In this paper, the Residual Neural Network (ResNet) and Vision Transformer (ViT) are selected. As a representative, the performance of the two in shallow and deep layers was compared from the perspectives of theoretical analysis and experimental results. The results show that the Transformer performs well in shallow networks and is suitable for handling tasks that require global feature capture. CNN, on the other hand, gradually exert their feature extraction capabilities in deep networks, which are suitable for processing complex image classification tasks. This study not only provides scientific guidance for the model selection of image recognition and classification tasks, but also helps to promote more efficient algorithm design and promote the wide application of computer vision technology in various industries. © 2024 IEEE.",2-s2.0-85217438686
Hierarchical (multi-label) architectural image recognition and classification,"The task of architectural image recognition for both architectural functionality and style remains an open challenge. In addition, the paucity of well-organized, large-scale architectural image datasets with specific consideration for the domain of architectural design research has hindered the exploration of these challenging tasks. Drawing upon images from the professional architectural website Archdaily®, and leveraging state-of-the-art deep-learning-based classification models, we explore a hierarchical multi-label classification model as a potential baseline for the task of architectural image classification. The resulting model showcases the potential for innovative architectural discipline-related analyses and demonstrates some heuristic insights for visual feature extraction pertaining to both architectural functionality and architectural style. © 2021 and published by the Association for Computer-Aided Architectural Design Research in Asia (CAADRIA), Hong Kong.",2-s2.0-85104623071
Three decades of machine learning with neural networks in computer-aided architectural design (1990-2021),"Over the past years, computational methods based on deep learning - that is, machine learning with multilayered neural networks - have become state-of-the-art in main research areas in computer-aided architectural design (CAAD). To understand current trends of CAAD with deep learning, to situate them in a broader historical context, and to identify future research challenges, this article presents a systematic review of publications that apply neural networks to CAAD problems. Research papers employing neural networks were collected, in particular, from CumInCad a major open-access repository of the CAAD community and categorized into different types of research problems. Upon analyzing the distribution of the papers in these categories, namely, the composition of research subjects, data types, and neural network models, this article suggests and discusses several historical and technical trends. Moreover, it identifies that the publications analyzed typically provide limited access to important research components used as part of their deep learning methods. The article points out the importance of sharing training experiments and data, of describing the dataset, dataset parameters, dataset samples, model, learning parameters, and learning results to support reproducibility. It proposes a guideline that aims at increasing the quality and availability of CAAD research with machine learning.  © The Author(s), 2023. Published by Cambridge University Press.",2-s2.0-85170405268
DomiKnowS: A Library for Integration of Symbolic Domain Knowledge in Deep Learning,"We demonstrate a library for the integration of domain knowledge in deep learning architectures. Using this library, the structure of the data is expressed symbolically via graph declarations and the logical constraints over outputs or latent variables can be seamlessly added to the deep models. The domain knowledge can be defined explicitly, which improves the explainability of the models in addition to their performance and generalizability in the low-data regime. Several approaches for such integration of symbolic and sub-symbolic models have been introduced; however, there is no library to facilitate the programming for such integration in a generic way while various underlying algorithms can be used. Our library aims to simplify programming for such integration in both training and inference phases while separating the knowledge representation from learning algorithms. We showcase various NLP benchmark tasks and beyond. The framework is publicly available at Github. © 2021 Association for Computational Linguistics.",2-s2.0-85127301176
Architectural Form Explorations through Generative Adversarial Networks: Predicting the potentials of StyleGAN,"In recent years, generative models have been rapidly transforming into a broad field of research, and artificial intelligence (AI) works are increasing. Since deep learning technologies such as Generative Adversarial Networks (GANs) providing synthesized new images are becoming more accessible, researchers in the design and related fields are very much interested in adapting GANs into practice. Especially, StyleGAN has a strong capability for image learning, reconstruction simulation, and absorbing the pixel characteristics of images in the input dataset. StyleGAN also produces similar imitation outputs and summarizes all the input data into one ""average output"". The study aims to reveal the potential of these outputs that can be employed as a visual inspiration aid for designers. This article will discuss the outputs of the experiments, findings, and prospects of StyleGAN. Keywords: Artificial Intelligence, Machine Learning, Generative Adversarial Networks, StyleGAN. © 2022, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.",2-s2.0-85139189269
Generative Deep Learning in Architectural Design,"Generative Adversarial Networks (GANs) are an emerging research area in deep learning that have demonstrated impressive abilities to synthesize designs, however, their application in architectural design has been limited. This research provides a survey of GAN technologies and contributes new knowledge on their application in select architectural design tasks involving the creation and analysis of 2D and 3D designs from specific architectural styles. Experimental results demonstrate how the curation of training data can be used to control the fidelity and diversity of generated designs. Techniques for working with small training sets are introduced and shown to improve the visual quality of synthesized designs. Lastly, experiments demonstrate how GANs might be used analytically to gain insight into specific architectural oeuvres. © 2019, © 2019 Association of Collegiate Schools of Architecture.",2-s2.0-85074142778
Towards Digitisation of Technical Drawings in Architecture: Evaluation of CNN Classification on the Perdaw Dataset,"In a highly digitalised world, this paper aims at closing the gap towards automatic digitisation from 2D architectural drawings. We present the new image dataset Plan, and Elevation Representations of Doors And Windows (Perdaw) which provides a baseline for different classification problems with varying complexity. We investigate the performance of three machine learning models in distinguishing different types of doors and windows in their plan and elevation views. Our findings show that Inception V3 slightly outperforms MobileNet V2, which suggests that the latter solves the same classification tasks with less computational resources with only a minimal compromise in accuracy. Among the three investigated models, ResNet50 yields the lowest quality metrics within a small margin. Overall, all models perform better at classifying building components in their elevation views compared to their plan views. We consistently observed that the models yield the best results with 100% accuracy for the binary classification problems, and dropped to close to 70% accuracy for the 40-class classification problems. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",2-s2.0-85198940286
Collaborative Sketching: Human-AI Collaboration Modes for Enhancing Designers' Performance and Experience in Sketching,"The rapid development of artificial intelligence (AI) technology is changing the working patterns of designers. AI is becoming a key collaboration partner for designers, supporting them in performing design tasks and inspiring creative thought. Although studies have investigated the collaborative framework between designers and AI, its guidance for specific design practices is limited. This study proposes three designer-AI collaboration modes with typical operable processes during sketching. We conducted a user experiment to compare the effects of different collaboration modes on the quantity, novelty, variety of design outcomes, and the designer's experience. The results show that the collaboration modes can significantly affect the sketch's quantity and variety, as well as the designer's overall satisfaction. Our study focuses on the sketching stage and mainly contributes to bridging the theoretical research and design practice regarding designer-AI collaboration. © 2024 IEEE.",2-s2.0-105009072855
Constructing a Semantic System of Facade Elements for Religious Architecture from a Regional Perspective: A Case Study of Jingzhou,"The application of semantics in facade elements mainly involves the association between architectural elements and their cultural, historical, or functional significance. By analyzing the shape, layout, and decoration of various elements (such as windows, doors, decorative patterns) in facades, semantics helps us understand the symbolic meanings and cultural implications behind these design choices. This study selects twenty-eight pavilions and buildings from five temples and Taoist sites in Jingzhou City as the research objects, exploring the composition and patterns of religious architectural facades in Jingzhou through the extraction of structural and decorative elements. The study establishes the “Semantic System of Façade Elements in Jingzhou Religious Architecture”, from which the distinctive characteristics of Jingzhou religious building façades are identified. The study finds that side halls predominantly feature hard gable roofs, while the main halls use double-eave hip-and-gable roofs, reflecting differences in architectural hierarchy. The sack with three arrows pattern is the most widely used in door and window decorations, demonstrating the aesthetic preferences of the Jingchu region. Both side halls and main halls commonly adopt high podiums, with the main hall podiums typically exceeding twenty steps in height, which is closely related to Jingzhou’s climatic conditions and architectural hierarchy. This study provides scientific evidence for the preservation, new design, and harmonious integration of traditional culture and architectural features in regional religious architecture. © 2024 by the authors.",2-s2.0-85207359297
Unboxing the Black Box of Attention Mechanisms in Remote Sensing Big Data Using XAI,"This paper presents exploratory work looking into the effectiveness of attention mechanisms (AMs) in improving the task of building segmentation based on convolutional neural network (CNN) backbones. Firstly, we evaluate the effectiveness of CNN-based architectures with and without AMs. Secondly, we attempt to interpret the results produced by the CNNs using explainable artificial intelligence (XAI) methods. We compare CNNs with and without (vanilla) AMs for buildings detection. Five metrics are calculated, namely F1-score, precision, recall, intersection over union (IoU) and overall accuracy (OA). For the XAI portion of this work, the methods of Layer Gradient X activation and Layer DeepLIFT are used to explore the internal AMs and their overall effects on the network. Qualitative evaluation is based on color-coded value attribution to assess how the AMs facilitate the CNNs in performing buildings classification. We look at the effects of employing five AM algorithms, namely (i) squeeze and excitation (SE), (ii) convolution attention block module (CBAM), (iii) triplet attention, (iv) shuffle attention (SA), and (v) efficient channel attention (ECA). Experimental results indicate that AMs generally and markedly improve the quantitative metrics, with the attribution visualization results of XAI methods agreeing with the quantitative metrics. © 2022 by the authors.",2-s2.0-85144815319
"Architectural Proposal for Reproducible, Standardized Deep Learning Research","The lack of reproducibility of research results is one of the most recurring issues in deep learning (DL) research, with many researchers associating DL research with a reproducibility crisis. We identify technical obstacles due to the architectural design of state-of-the-art (meta) DL frameworks impeding re-producibility. To achieve high reproducibility, most frameworks only provide a set of high-level functions similar to the structure of libraries, forcing researchers to implement boilerplate code from scratch for training and evaluation pipelines. We argue that a well-thought architectural design, leveraging established design paradigms such as the inversion of control paradigm, dependency injection, and strategy pattern, already allows for the maximization of reproducibility, without necessitating mentioned implementational overhead by the user. Our analysis of existing DL frameworks unveils that their lack of reproducibility is often induced by conflicting design decisions which favor code flexibility / hackability. Based on our proposed architectural design and utilization of dedicated design patterns, we propose MLgym, a prototypical PyTorch-based open-source DL framework, maintaining full control over the training and evaluation pipeline, as well as, allowing for the implementation of the reproducibility requirements demanded in various research papers. © 2025 IEEE.",2-s2.0-105007934008
Low-resource GAN-stack for high-resolution floor plan generation with enhanced evaluation and contextual validation,"The fast and reliable prototyping of floor plan layouts is a crucial element in the early stage of the building construction cycle. The purpose of this study is to ameliorate the major difficulties associated with the use of generative adversarial networks (GANs) for automating high-resolution floor plan generation: vast computational and data requirements, training instability, and problematic result evaluation. A stable resource-efficient multi-module GAN-stack framework is proposed comprising pre-processing (denoising and 4× down-sampling), floor plan image generation, and up-sampling modules. Each module is individually optimized. An innovative holistic evaluation framework of the generated building floor plans is presented covering image quality, diversity, truthfulness, overall training time, energy spent during training and associated carbon emissions. A novel validation framework is introduced, involving contextual building functionality, data privacy, capability to manipulate design generation to suit the designer's desires, usability in BIM downstream tasks, and inference speed. Results demonstrate that the apropos network architecture choices allow for significantly cutting down the wall clock training time (<60 h) while maintaining superior generated image quality and contextual meaningfulness, given only sub-thousand 1024 × 1024 training images of single-story residential Danish homes and a limited computing resource (a single RTX-3090 GPU). The proposed computer-aided pipeline may support decisions between architects and their clients. It may broaden access to the GAN-based research on the automation of building design. The presented automated tools could find application in other industries which have the same driving needs and resource constraints for adopting GANs, and that also lack ways of validating their end product. © 2025 The Authors",2-s2.0-105018172465
Connoisseur: Classification of styles of Mexican architectural heritage with deep learning and visual attention prediction,"The automatic description of multimedia content was mainly developed for classification tasks, retrieval systems and massive ordering of data. Preservation of cultural heritage is a field of high importance for application to this method. Our problem is classification of architectural styles of buildings in digital photographs of Mexican cultural heritage. The selection of relevant content in the scene for training classification models allows them to be more precise in the classification task. Here we use a saliency-driven approach to predict visual attention in images and use it to train a Convolutional Neural Network to identify the architectural style of Mexican buildings. Also, we present an analysis of the behavior of the models trained under the traditional cropped image and the prominence maps. In this sense, we show that the performance of the saliency-based CNNs is better than the traditional training reaching a classification rate of 97% in validation dataset. It is considered that style identification with this technique can make a wide contribution in video description tasks, specifically in the automatic documentation of Mexican cultural heritage. © 2017 Association for Computing Machinery.",2-s2.0-85030784474
Deep Learning Architect: Classification for Architectural Design Using Artificial Intelligence,"In this paper, we use cutting-edge deep learning and computer vision to compare architectural designs from various businesses. We trained a squeeze net model using different classification algorithms to identify 1404 architects' photos with 88.6% accuracy by integrating a dataset of web-scraped photographs with our collection of architectural works. By analyzing the weights in the trained Neural Network model, we may determine the extent to which the computer understands common aesthetic traits across architects. We use this metric to categorize buildings by various architects into groups sharing commonalities in their design. We next evaluate our results against the standard categorization used by architects and historians. It is surprising that our classification of architectural styles corroborates commonly held beliefs in the field, and that the acquired knowledge of architectural characteristics is in line with a common appreciation for these styles.  © 2023 IEEE.",2-s2.0-85190511265
Advancing Architectural Design Through Generative Adversarial Network Deep Learning Technology,"Recent advancements in deep learning have popularized Generative Adversarial Networks for image generation. This study investigates integrating Generative Adversarial Networks technology into architectural design to empower architects in creating diverse, innovative, and practical designs. By analyzing architectural research, deep learning theory, and practical Generative Adversarial Networks applications, we substantiate the feasibility of using Generative Adversarial Networks for architectural design optimization. The generated architectural images exhibit significant diversity, innovation, and practicality, inspiring architects with numerous design possibilities. Overall, Generative Adversarial Networks technology not only expands design methodologies but also stimulates groundbreaking innovation in architectural practice. As technology progresses, Generative Adversarial Networks-based architectural design optimization shows promising potential for widespread adoption, heralding a new era of creativity and efficiency in architecture. © 2024 IGI Global. All rights reserved.",2-s2.0-85203104592
Convolutional Neural Network in the Classification of Architectural Styles of Buildings,"The article focuses on the implementation of the project for the classification of architectural styles of buildings. We use modern deep learning methods using convolutional neural networks for realization of this project. Image classification using CNN has many implementations. However, the recognition of architectural styles is not fully researched. This article presents a neural network capable of determining from a photograph of a building its belonging to a certain style of architecture. We train a deep CNN classifier model to classify buildings belonging to 15 different architectural styles. We use a data set that we have collected from open sources of the global Internet to do this. © 2021 IEEE.",2-s2.0-85104706529
