original_title,summary,concerns_architecture_of_buildings
Urban Architectural Style Recognition and Dataset Construction Method under Deep Learning of street View Images: A Case Study of Wuhan,"The visual quality and spatial distribution of architectural styles represent a city’s image, influence inhabitants’ living conditions, and may have positive or negative social consequences which are critical to urban...",yes
Building pose detection for the characterization of reinforced concrete buildings,The automated identification of building characteristics for seismic vulnerability remains a challenge for governments due to the high number of buildings in cities. The diverse architectural styles of these buildings...,yes
Intelligent machine vision model for building architectural style classification based on deep learning,This paper presents an intelligent model for building architectural style classification. Image classification of architectural style is challenging to traditional machine vision methods. The main challenge in these systems is...,yes
Architectural Style Classification Based on Deep Learning,This article analyzes the efficient classification of computer models using different architectural styles. A precise feature application for computer-aided design was constructed by evaluating and classifying CAD data training. A...,yes
Urban fabric decoded: High-precision building material identification via deep learning and remote sensing,"Precise identification and categorization of building materials are essential for informing strategies related to embodied carbon reduction, building retrofitting, and circularity in urban environments. However, existing building material databases are...",yes
Understanding architecture age and style through deep learning,"Architectural styles and their evolution are central to architecture history. However, traditional approaches to understand styles and their evolution require domain expertise, fieldwork and extensive manual processes. Recent research in...",yes
Hierarchical (multi-label) architectural image recognition and classification,"The task of architectural image recognition for both architectural functionality and style remains an open challenge. In addition, the paucity of well-organized, large-scale architectural image datasets with specific consideration for...",yes
BUILDING FOOTPRINT EXTRACTION FROM SPACE-BORNE IMAGERY USING DEEP NEURAL NETWORKS,"One of the important and high-level detailing contained within basemaps is the ĝ€building feature'. Though pre-trained Deep Learning (DL) models are available for Building Feature Extraction (BFE), they are not...",yes
The Φ-stack for SmartWeb of things,"With the emergence of smart IoT, a key problem has becoming increasingly acute: The ""Paradox of Classis Insecta"", which in industry is called the fragmentation problem. We propose an architecture...",yes
Architectural style classification of Mexican historical buildings using deep convolutional neural networks and sparse features,"We propose a convolutional neural network to classify images of buildings using sparse features at the network's input in conjunction with primary color pixel values. As a result, a trained...",yes
Scrutinization of mammogram images using deep learning,"Progressive steps were taken by the deep learning model in a multitude of implementations. The main source of interest is the convolutional neural network (CNN), which is regarded as a...",yes
Generative Deep Learning in Architectural Design,"Generative Adversarial Networks (GANs) are an emerging research area in deep learning that have demonstrated impressive abilities to synthesize designs, however, their application in architectural design has been limited. This...",yes
An extraction method for roof point cloud of ancient building using deep learning framework,"Chinese ancient architecture is a valuable heritage wealth, especially for roof that reflects the construction age, structural features and cultural connotation. Point cloud data, as a flexible representation with characteristics...",yes
Feasibility Analysis of an AI-Based Classification System for Cultural Heritage Building,"The country's historical and artistic heritage represents its identity and history. Art cities are often influenced by different architectural styles, sometimes easily distinguishable, thanks to characteristic elements, other times less...",yes
Kangba Region of Sichuan based on swin transformer visual model research on the identification of facades of ethnic buildings,"The protection and restoration of existing buildings requires accurate acquisition of the characteristics of the building facade. The complex, diverse, and irregular distribution characteristics of the building facade components of...",yes
ARCHITECT: EXTRACTING BUILDING RELATED INFORMATIONS AND CHANGING ARCHITECTURAL STYLE IN AR,"With recent advancements in mobile computing, augmented reality (AR) applications can now achieve real-time performance. AR provides a novel way to engage with our surroundings. Platforms such as ARKit or...",yes
Architectural Style Classification of the Chinese Traditional Settlements using Deep Learning,"This paper investigates state-of-the-art deep learning techniques to achieve automatic architectural style classification of the Chinese traditional settlements. First, a new annotated dataset is built with six typical Chinese architectural...",yes
Connoisseur: Classification of styles of Mexican architectural heritage with deep learning and visual attention prediction,"The automatic description of multimedia content was mainly developed for classification tasks, retrieval systems and massive ordering of data. Preservation of cultural heritage is a field of high importance for...",yes
Research on classification of architectural style image based on convolution neural network,Deep learning is a new field in machine learning research. Convolution neural network is the most important factor in image recognition. This paper mainly focuses on the network design and...,yes
3D façade labeling over complex scenarios: A case study using convolutional neural network and structure-from-motion,"Urban environments are regions in which spectral variability and spatial variability are extremely high, with a huge range of shapes and sizes, and they also demand high resolution images for...",yes
Street-Facing Architectural Image Mapping and Architectural Style Map Generation Method Using Street View Images; [街景影像下的临街建筑风格映射及地图生成方法],"Objectives: Each region has specific characteristics of architectural styles, and a detailed investigation of the geographical distribution of architectural styles is conducive to the protection of historic buildings, the development...",yes
Multi-Scale Frequency-Spatial Domain Attention Fusion Network for Building Extraction in Remote Sensing Images,"Building extraction from remote sensing images holds significant importance in the fields of land resource management, urban planning, and disaster assessment. Encoder-decoder deep learning models are increasingly favored due to...",yes
The Novel End-to-End Style Generation Model for Architectural Style Transfer and Classification,"Architectural design is a multifaceted process that traditionally requires extensive time and expertise, often leading to inefficiencies and prolonged project timelines. This study explores the application of Artificial Intelligence (AI),...",yes
Deep Learning Architect: Classification for Architectural Design Using Artificial Intelligence,"In this paper, we use cutting-edge deep learning and computer vision to compare architectural designs from various businesses. We trained a squeeze net model using different classification algorithms to identify...",yes
A Review Paper on Real-Time Video Analysis in Dense Environment for Surveillance System,"Dense environmental conditions such as snow, fog, lightning, heavy rain, and darkness drastically lower the quality of outdoor surveillance videos. The primary functions of video surveillance systems in crowded environments...",yes
A city-scale estimation of rooftop solar photovoltaic potential based on deep learning,The estimation of rooftop solar photovoltaic (PV) potential is crucial for policymaking around sustainable energy plans. But it is difficult to accurately estimate the availability of rooftop area for solar...,yes
Convolutional Neural Network in the Classification of Architectural Styles of Buildings,The article focuses on the implementation of the project for the classification of architectural styles of buildings. We use modern deep learning methods using convolutional neural networks for realization of...,yes
"Proceedings of the 2024 18th International Conference on Ubiquitous Information Management and Communication, IMCOM 2024",The proceedings contain 99 papers. The topics discussed include: Deep-RSIv2: an efficient content-free deep learning approach for radiographs’ manufacturer and model identification; unveiling algorithm classification excellence: exploring calendula and coreopsis...,yes
Saliency-based selection of visual content for deep convolutional neural networks: Application to architectural style classification,"The automatic description of digital multimedia content was mainly developed for classification tasks, retrieval systems and massive ordering of data. Preservation of cultural heritage is a field of high importance...",yes
Employing Deep Learning Framework to Support Location Management for the Audio-Visual Industry,This paper presents a specialized tool for film producers and managers to extract useful information from images of different locations. The resulting framework can be used for image retrieval and...,yes
"An empirical study on big video data processing: Architectural styles, issues, and challenges","Video data contributes to the majority of big data, henceforth, how to efficiently and effectively discovering knowledge from large-scale video data becomes a crucial challenge. In this paper, we propose...",yes
ARQGAN: An evaluation of generative adversarial network approaches for automatic virtual inpainting restoration of Greek temples,Image reconstruction has received much attention and has advanced in recent years with the rise of deep learning. Deep neural models have been able to perform image-to-image translation by transferring...,yes
Towards Hallucinating Machines - Designing with Computational Vision,"There are particular similarities in how machines learn about the nature of their environment, and how humans learn to process visual stimuli. Machine Learning (ML), more specifically Deep Neural network...",yes
AN APPROACH WITH DEEP CONVOLUTIONAL NEURAL NETWORKS FOR ACCURATE ARCHITECTURAL STYLE CLASSIFICATION,"Unlike other studies, this study aims to examine the effect of data diversity and quantity on the performance of a model rather than solely focusing on classifying architectural styles. It...",yes
Deep Learning for the Automatic Division of Building Constructions into Sections on Remote Sensing Images,"Urban areas predominantly consist of complex building structures, which are assembled of multiple building sections. From very high resolution remote sensing imagery, not only roof-tops but also the separation lines...",yes
Data-Driven Interior Plan Generation for Residential Buildings in Vietnam,We propose a new data-driven technique to automatically and efficiently generate floor plans for residential buildings in Vietnam with certain boundaries. We focus on improving the accuracy of the algorithm...,yes
Architectural style classification based on DNN model,"Deep neural networks (DNN) have been widely used for image classification. One major hurdle of deep learning approaches is that large sets of labeled data are necessary, which can be...",yes
Intra-class Classification of Architectural Styles Using Visualization of CNN,The classification of architectural style is one of the most challenging problems in architectural history due to its temporal inter-class relationships between different styles and geographical variation within one style....,yes
Emotion Detection Based on Facial Expression Using YOLOv5,"Human emotions can be understood from facial expressions, a type of nonverbal communication. Facial emotion recognition is a technology that analyzes emotions from various sources such as images and videos....",yes
Architectural Works of the Early Republic Period from an Artificial Intelligence Perspective; [Yapay Zekâ Perspektifinden Erken Cumhuriyet Dönemi Mimari Eserleri],"This study presents a versatile approach integrating various neural network architectures with a focus on classifying architectural works. To address the lack of suitable datasets in the literature, a custom...",yes
"MonuMAI: Dataset, deep learning pipeline and citizen science based app for monumental heritage taxonomy and classification","An important part of art history can be discovered through the visual information in monument facades. However, the analysis of this visual information, i.e, morphology and architectural elements, requires high...",yes
Classification of Indian Monument Architecture Styles Using Bi-Level Hybrid Learning Techniques,"India is known for its rich architectural and cultural inheritance. In this research work, classification of the Indian historical monuments has been attempted in two levels, primarily based on the...",yes
AI Image-based Systems for Enhancing the Cultural Tourism Experience,"Technological innovation, conservation and enhancement are key elements for promoting cultural heritage and attracting visitors worldwide. Cultural tourism represents a significant economic and social strategy, capable of stimulating regional development...",yes
Collapsed building detection using 3D point clouds and deep learning,"Collapsed buildings should be detected with the highest priority during earthquake emergency response, due to the associated fatality rates. Although deep learning-based damage detection using vertical aerial images can achieve...",yes
"Towards Classification of Architectural Styles of Chinese Traditional Settlements Using Deep Learning: A Dataset, a New Framework, and Its Interpretability","The classification of architectural style for Chinese traditional settlements (CTSs) has become a crucial task for developing and preserving settlements. Traditionally, the classification of CTSs primarily relies on manual work,...",yes
Case study for digital cultural content mining,In this chapter we consider an application case of Deep Learning in the task of architectural recognition. The main objective is to identify both: architectural styles and specific architectural structures....,yes
Simultaneous extraction of spatial and attributional building information across large-scale urban landscapes from high-resolution satellite imagery,"Understanding urban dynamics requires comprehensive building analysis, yet current methods focusing on specific aspects hinder the production of unified and large-scale inventories. This study introduces a multi-task deep learning network...",yes
Classification of Turkish and Balkan House Architectures Using Transfer Learning and Deep Learning,"Classifying architectural structures is an important and challenging task that requires expertise. Convolutional Neural Networks (CNN), which are a type of deep learning (DL) approach, have shown successful results in...",yes
