Title,Summary,Architecture of Buildings?
Employing Deep Learning Framework to Support Location Management for the Audio-Visual Industry,Summary placeholder related to architecture,yes
"An empirical study on big video data processing: Architectural styles, issues, and challenges",Summary placeholder not related to architecture,no
ARQGAN: An evaluation of generative adversarial network approaches for automatic virtual inpainting restoration of Greek temples,Summary placeholder related to architecture,yes
Towards Hallucinating Machines - Designing with Computational Vision,Summary placeholder related to architecture,yes
AN APPROACH WITH DEEP CONVOLUTIONAL NEURAL NETWORKS FOR ACCURATE ARCHITECTURAL STYLE CLASSIFICATION,Summary placeholder not related to architecture,no
Deep Learning for the Automatic Division of Building Constructions into Sections on Remote Sensing Images,Summary placeholder related to architecture,yes
Data-Driven Interior Plan Generation for Residential Buildings in Vietnam,Summary placeholder related to architecture,yes
Architectural style classification based on DNN model,Summary placeholder related to architecture,yes
Intra-class Classification of Architectural Styles Using Visualization of CNN,Summary placeholder related to architecture,yes
Emotion Detection Based on Facial Expression Using YOLOv5,Summary placeholder not related to architecture,no
Architectural Works of the Early Republic Period from an Artificial Intelligence Perspective; [Yapay Zekâ Perspektifinden Erken Cumhuriyet Dönemi Mimari Eserleri],Summary placeholder related to architecture,yes
"MonuMAI: Dataset, deep learning pipeline and citizen science based app for monumental heritage taxonomy and classification",Summary placeholder related to architecture,yes
Classification of Indian Monument Architecture Styles Using Bi-Level Hybrid Learning Techniques,Summary placeholder not related to architecture,no
AI Image-based Systems for Enhancing the Cultural Tourism Experience,Summary placeholder related to architecture,yes
Collapsed building detection using 3D point clouds and deep learning,Summary placeholder related to architecture,yes
"Towards Classification of Architectural Styles of Chinese Traditional Settlements Using Deep Learning: A Dataset, a New Framework, and Its Interpretability",Summary placeholder related to architecture,yes
Case study for digital cultural content mining,Summary placeholder not related to architecture,no
Simultaneous extraction of spatial and attributional building information across large-scale urban landscapes from high-resolution satellite imagery,Summary placeholder related to architecture,yes
Classification of Turkish and Balkan House Architectures Using Transfer Learning and Deep Learning,Summary placeholder not related to architecture,no
